package_id,resource_id,status,format,last_checked,url,url_type
3f7ff6af-38be-406f-99cb-a209a90ac803,5a153987-3165-47ca-8560-8bc62f2c7b32,pending,KML,,http://www.odaa.dk/dataset/3f7ff6af-38be-406f-99cb-a209a90ac803/resource/5a153987-3165-47ca-8560-8bc62f2c7b32/download/InvaPWGS84.KML,
ac3c6e4c-2051-4572-9d56-dfc6d61c7568,a24e6c44-8fad-41dd-a8c9-a13ed5fb16f5,pending,Link,,https://findtilbud.tilbudsportalen.dk/Social/search?area=6421&filteroptions=6337&map=true,
05831512-a71f-4d3f-99c0-9410af436e65,d3ede7c8-60d5-4c31-b2f9-13ee02cf8dc1-csv,pending,CSV,,http://ballerup.mapcentia.com/api/v1/sql/ballerup?q=SELECT * FROM snit_opendata._04_00_harrestrupaadal_4_km LIMIT 1000&srs=4326&format=csv,
c51cb797-2f8b-4864-8348-bc64b4447f17,7a9777f7-620c-4f9b-9459-c90f9a55c601-excel,pending,XLSX,,http://ballerup.mapcentia.com/api/v1/sql/ballerup?q=SELECT * FROM snit_opendata.musik_teater_biograf LIMIT 1000&srs=4326&format=excel,
20ca2544-0e06-4625-812c-72389010c8cc,6a94b551-99ba-4f16-91b8-cef4a95b2067,pending,XLS,,http://www.odaa.dk/dataset/20ca2544-0e06-4625-812c-72389010c8cc/resource/6a94b551-99ba-4f16-91b8-cef4a95b2067/download/opstillede-kandidater-og-kvinders-andel-1997.xls,
0031a892-3cef-4412-8b08-325c4428d599,47b75199-9463-4ecc-8385-a5ce9ee2d77f,pending,WFS,,http://kortservice.vejle.dk/gis/services/OPENDATA/Vejle/MapServer/WFSServer?request=GetCapabilities&service=WFS,
c925a4ed-cb98-40b5-8305-96b706f26785,c65d0402-478d-465a-8c67-a65296daa545,pending,TXT,,http://www.odaa.dk/dataset/c925a4ed-cb98-40b5-8305-96b706f26785/resource/c65d0402-478d-465a-8c67-a65296daa545/download/studerende-ved-via-university-college.txt,
50c89d36-7177-47e6-8c3b-3e9148f10d65,eeeef1e4-5cf0-48f0-a54b-f43435d2acbc-html,pending,HTML,,http://ballerup.mapcentia.com/apps/widgets/gc2map/ballerup/snit_opendata/#osm/12/12.3703/55.7274/snit_opendata.cds_10_zeroed_interp,
2c5b19ec-70c7-41c9-9335-43dc8b24263f,d9a363fb-0bb9-4f0f-83b2-f2d15b06559a,pending,ODS,,http://www.odaa.dk/dataset/2c5b19ec-70c7-41c9-9335-43dc8b24263f/resource/d9a363fb-0bb9-4f0f-83b2-f2d15b06559a/download/Cvr-produktionsenhed.ods,
fed1cc4b-f5dc-43d5-931e-4602ab0b5e7e,d52e3779-f4d5-4c00-b868-9db178877357,pending,JSON,,http://www.odaa.dk/api/action/datastore_search?resource_id=d52e3779-f4d5-4c00-b868-9db178877357,
278a114f-e7e4-4905-ac6c-69ab83614db6,906ba84b-2a4b-4fc2-a715-781fd4234b1a,pending,GeoJSON,,http://test.opendata.dk/dataset/278a114f-e7e4-4905-ac6c-69ab83614db6/resource/906ba84b-2a4b-4fc2-a715-781fd4234b1a/download/punktermotion.geojson,upload
3987d5f9-6f81-43ba-b8e5-d7eb356bf16b,d7e04089-64c0-461b-a05a-1b0d1082b343,pending,DXF,,http://data.vejle.dk/dataset/3987d5f9-6f81-43ba-b8e5-d7eb356bf16b/resource/d7e04089-64c0-461b-a05a-1b0d1082b343/download/Jellingcentrum.dxf,
99408132-4ef4-4fb1-9157-e7309cf96b73,e49caf1f-ba14-4778-9c50-b1d989aaed74,pending,CSV,,http://data.kk.dk/dataset/99408132-4ef4-4fb1-9157-e7309cf96b73/resource/e49caf1f-ba14-4778-9c50-b1d989aaed74/download/sedwdatatvaergaende-booffentlige-datasagsbehandlingsfrister-til-offentliggorelse.txt,
ff1f33a1-29cd-411b-a0bf-4dee0fe630d6,e30aa187-9455-4b40-b929-585a0bbcada3,pending,application/x-koan,,http://test.opendata.dk/dataset/ff1f33a1-29cd-411b-a0bf-4dee0fe630d6/resource/e30aa187-9455-4b40-b929-585a0bbcada3/download/1km6147582.skp,upload
cf752238-72d9-4d9c-aae6-163cda1bf94a,a6587e23-0efc-48d0-87b3-db54414cf784-wms,pending,WMS,,http://ballerup.mapcentia.com/ows/ballerup/snit_opendata?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,
9630873c-9bb7-404e-ab87-f9e28ff832b4,724bb9bf-fa5b-4cfd-b1f7-4777851190e8,pending,CSV,,http://data.vejle.dk/dataset/9630873c-9bb7-404e-ab87-f9e28ff832b4/resource/724bb9bf-fa5b-4cfd-b1f7-4777851190e8/download/20160615-mest-reserverede-titler.txt,
9658b90a-1845-4161-befa-c74f76d4c915,924aab35-9184-41fc-a409-c723da821f9a,pending,SHP,,http://wfs-kbhkort.kk.dk/k101/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=k101:taellestationer&outputFormat=SHAPE-ZIP&SRSNAME=EPSG:4326,
52aa273e-bc73-410f-a410-bb8a52440d38,c4e23b1f-138d-4c40-9740-084d2393a365,pending,GeoJSON,,http://test.opendata.dk/dataset/52aa273e-bc73-410f-a410-bb8a52440d38/resource/c4e23b1f-138d-4c40-9740-084d2393a365/download/busstoppesteder.geojson,upload
